instance pathlad vf2 ri
F.04 0.169849 3600.01 0.0802209
C.18 0.0824393 3600.01 0.0421665
A.04 0.00775499 0.0702444 0.0276182
C.02 0.0895154 3600.01 0.0687297
E.01 0.0362191 3600.01 3600.02
F.20 3.26852 3600.01 3600.02
B.20 0.049229 3600.01 0.0330441
C.08 0.0901396 3600.01 0.0751466
B.11 0.0390971 3600.02 0.0351204
C.10 0.125145 3600.01 0.0481885
B.06 0.029331 3600.02 0.0349118
F.08 1.24256 3600.01 3600.02
B.07 0.029512 3600.01 0.0361868
E.04 0.0225656 3600.02 3600.02
C.01 0.120765 3600.01 0.0421495
B.10 0.0460336 3600.09 0.0999443
A.15 0.00656604 1108.8 0.0288089
C.19 0.0777313 3600.01 0.0454322
B.02 0.0339571 3600.01 0.0320485
E.06 0.0271135 3600.01 237.842
E.18 0.0249759 3600.02 0.617053
C.20 0.119184 3600.01 0.0442667
F.02 0.129451 3600.01 0.597429
F.11 0.0569485 3600.02 0.0714329
F.12 0.0686879 3600.01 0.0548636
E.05 0.0318945 3600.01 3600.02
B.16 0.0300815 3600.01 0.032857
A.08 0.00611462 2.82875 0.0281066
C.14 0.0823327 3600.01 0.0544294
F.16 0.071788 3600.01 0.0558717
F.06 0.232918 3600.01 3.63459
A.03 0.00848235 17.4895 0.0291464
E.19 0.0244051 3600.01 476.344
C.15 0.0919312 3600.01 0.0481947
A.16 0.00714259 478.849 0.0334341
B.14 0.0360614 3600.01 0.0355719
A.02 0.00925572 0.43096 0.0285459
F.14 0.0487797 3600.01 0.0794062
F.05 0.129804 3600.01 35.7032
B.09 0.0357919 3600.01 0.034244
A.01 0.00915976 2.15561 0.0339068
C.05 0.0924486 3600.01 0.0489921
B.01 0.0308644 3600.01 0.0425597
A.09 0.00793484 58.5946 0.0366387
A.07 0.00924606 2.73583 0.0272128
F.03 0.058811 3600.01 0.0539237
E.12 0.0373074 3600.01 3600.03
C.06 0.0982606 3600.01 0.0530778
C.09 0.137745 3600.01 0.0449851
B.17 0.053607 3600.01 0.0373821
C.07 0.0831668 3600.01 0.0396045
E.09 0.0418416 3600.01 1525.19
E.17 0.0254321 3600.01 3600.02
C.11 0.139765 3600.01 0.0479521
F.10 0.0281983 127.826 3069.02
A.17 0.00696351 12.3605 0.0352142
B.15 0.0473333 3600.01 0.0363984
E.03 0.0198641 3600.01 52.0676
F.19 0.0774673 3600.01 0.112805
A.12 0.00564634 0.891185 0.0274828
B.08 0.0373546 3600.01 0.0396294
F.17 0.323675 3600.01 0.996379
C.04 0.172442 3600.01 0.0574362
B.19 0.0426716 3600.01 0.0359508
C.16 0.111248 3600.01 0.046328
C.17 0.0834448 3600.01 0.0461638
E.08 0.0202673 3600.01 3600.02
F.13 1.10711 3600.01 3550.51
A.20 0.00800841 157.048 0.0275074
E.02 0.0229671 3600.01 3600.03
E.16 0.0200865 3600.01 3600.03
B.12 0.0744655 3600.01 0.0325691
F.09 0.438784 3600.01 0.0678925
A.10 0.00587462 12.8128 0.0264915
F.18 0.1094 3600.01 0.0717638
E.10 0.0555746 3600.01 0.069537
A.06 0.0101226 4.3489 0.0274208
E.15 0.0220363 3600.01 3600.03
E.07 0.0219249 1.94631 30.88
E.11 0.016708 3600.01 83.276
B.03 0.0337437 3600.01 0.0377635
B.18 0.0297434 3600.01 0.0355856
C.03 0.0866419 3600.01 0.0434303
A.18 0.0081322 2.13961 0.0277585
F.15 0.0374153 3600.01 0.0467625
A.19 0.0169333 0.599478 0.026265
C.12 0.0857492 3600.01 0.0719675
B.05 0.04156 3600.01 0.0401005
A.13 0.00897853 7.45526 0.0278755
A.05 0.00706318 8.37812 0.026835
F.01 0.0338719 3600.01 0.0444103
E.20 0.0177161 3600.01 3600.03
B.13 0.0432828 3600.01 0.0379155
A.14 0.00997767 3600.01 0.0275696
B.04 0.0300504 3600.01 0.0349271
C.13 0.257154 3600.01 0.0435051
F.07 0.0353951 3600.01 0.07769
E.13 0.0201211 3600.01 3600.03
E.14 0.0251392 3600.01 3600.03
A.11 0.00570722 1.77985 0.0275511
si6_r005_m400.07 6.21734 3600.01 0.46792
si6_r005_m400.00 3.62291 3600.01 0.468002
si6_r005_m400.01 27.6375 3600.01 7.84193
si6_r005_m400.02 3.57684 3600.01 0.227818
si6_r005_m400.04 3.14233 3600.01 0.052818
si6_r005_m400.05 22.9029 3600.01 1.27509
si6_r005_m400.09 3.53969 3600.01 0.118477
si6_r005_m400.03 4.02366 3600.01 3.01671
si6_r005_m400.06 3.15666 3600.01 0.176311
si6_r005_m400.08 7.1718 3600.01 0.351943
si6_m4Dr6_m625.04 0.0223314 0.0143974 0.0312364
si6_m4Dr6_m625.01 0.0223966 0.0188997 0.033577
si6_m4Dr6_m625.09 0.022688 0.014219 0.0315018
si6_m4Dr6_m625.07 0.0231829 0.0179661 0.0330643
si6_m4Dr6_m625.00 0.0227226 0.0194497 0.0397303
si6_m4Dr6_m625.08 0.0233868 0.0177436 0.0338924
si6_m4Dr6_m625.05 0.0218808 0.0146369 0.0376702
si6_m4Dr6_m625.06 0.0213628 0.0141979 0.0366958
si6_m4Dr6_m625.02 0.0221881 0.0177148 0.0297189
si6_m4Dr6_m625.03 0.0215397 0.0144495 0.0311169
si4_m4Dr2_m625.09 0.0976607 0.0120386 0.032311
si4_m4Dr2_m625.04 0.3113 0.0121397 0.0341036
si4_m4Dr2_m625.02 0.0221818 0.0119201 0.0291906
si4_m4Dr2_m625.07 0.0150385 0.0147239 0.0296773
si4_m4Dr2_m625.00 0.0354912 0.0144294 0.0329047
si4_m4Dr2_m625.08 0.0228612 0.0116558 0.0303038
