instance fatanode-results/gss-20210111 fatanode-results/gss-cliques-20210111 fatanode-results/gss-cliques-cliquesup-20210111 fatanode-results/gss-cliques-cliquesup-locallyinjective-20210111 fatanode-results/gss-cliques-cliquesup-noninjective-20210111 fatanode-results/gss-cliques-locallyinjective-20210111 fatanode-results/gss-cliques-noninjective-20210111 fatanode-results/gss-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-20210111 fatanode-results/gss-count-cliques-20210111 fatanode-results/gss-count-cliques-locallyinjective-20210111 fatanode-results/gss-count-cliques-noninjective-20210111 fatanode-results/gss-count-cliques-noninjective-nosupplementals-20210111 fatanode-results/gss-count-locallyinjective-20210111 fatanode-results/gss-count-noninjective-20210111 fatanode-results/gss-count-noninjective-nosupplementals-20210111 fatanode-results/gss-locallyinjective-20210111 fatanode-results/gss-noninjective-20210111 fatanode-results/gss-noninjective-nosupplementals-20210111
F.04 272 420 40262 41356 36588 180 388 435 363 472 411 NaN NaN 471 NaN NaN 51 18787 16393
C.18 230 263 382 269 181262 147 363282 NaN 243 244 133 NaN NaN 164 NaN NaN 164 542814 NaN
A.04 15 11 48 42 665 11 287 755 8 17 6 NaN NaN 7 NaN NaN 8 1602 208220
C.02 238 270 434 275 NaN 150 397589 NaN 247 277 134 NaN NaN 107 NaN NaN 126 458151 NaN
E.01 175 304 38467 39447 9447 153 146 132 175 380 190 145 139 23 17 4 24 20 6
F.20 420 586 39355 NaN 10530 NaN 184 142 477 572 NaN NaN NaN NaN NaN NaN NaN 83 73
B.20 89 125 182 116 58761 90 5513 2054367 74 88 79 NaN NaN 62 NaN NaN 44 34651 NaN
C.08 275 304 503 280 810256 178 407015 NaN 364 270 131 NaN NaN 104 NaN NaN 124 233745 NaN
B.11 124 155 201 116 858184 54 1931946 NaN 74 87 47 NaN NaN 61 NaN NaN 72 775857 NaN
C.10 244 278 416 263 11115 159 5936 NaN 225 282 132 NaN NaN 109 NaN NaN 125 NaN NaN
B.06 81 102 257 118 1595615 88 87026 16817 75 88 52 NaN NaN 36 NaN NaN 42 36952 NaN
F.08 379 522 42764 304203 17904 260257 285 187 356 579 NaN NaN NaN NaN NaN NaN 268479 2734 2367
B.07 87 102 213 162 60438 56 25087 753566 78 89 49 NaN NaN 37 NaN NaN 42 221209 NaN
E.04 106 203 38180 38533 9570 139 143 128 89 205 142 168 128 22 16 3 21 16 4
C.01 241 414 394 271 11574 160 946677 NaN 217 247 134 NaN NaN 109 NaN NaN 148 NaN NaN
B.10 125 97 263 118 348534 64 24733 110484 75 133 50 NaN NaN 39 NaN NaN 69 NaN NaN
A.15 9 13 46 26 560 7 11839 4345 9 11 7 NaN NaN 4 NaN NaN 6 3 10043
C.19 238 368 385 325 NaN 150 179598 NaN 222 253 141 NaN NaN 109 NaN NaN 127 122955 NaN
B.02 108 97 192 122 3952 78 1613 28308 77 88 51 NaN NaN 39 NaN NaN 45 189799 NaN
E.06 94 214 39106 38099 10013 138 127 121 118 215 131 123 112 20 16 3 20 16 4
E.18 104 225 34169 35809 11128 113 102 95 133 198 111 146 97 18 16 3 19 13 3
C.20 240 277 462 283 392971 250 386467 NaN 219 252 186 NaN NaN 145 NaN NaN 119 NaN NaN
F.02 290 451 40128 41413 71638 292 272 273 271 458 764 NaN NaN 544 NaN NaN 50 27387 24048
F.11 247 559 38659 38977 NaN 217 NaN NaN 241 420 208 NaN NaN 29 NaN NaN 31 NaN NaN
F.12 278 451 NaN NaN NaN 187 NaN NaN 281 431 201 NaN NaN 30 NaN NaN 45 NaN NaN
E.05 307 378 37767 36519 9715 135 138 108 276 487 132 123 127 36 16 4 26 16 5
B.16 80 98 164 131 519157 57 NaN NaN 108 90 49 NaN NaN 65 NaN NaN 41 219845 NaN
A.08 8 11 30 41 1263 7 10217 46547 8 10 10 NaN NaN 4 NaN NaN 5 400 67153
C.14 296 399 405 280 NaN 151 1774291 NaN 244 260 190 NaN NaN 144 NaN NaN 145 108202 NaN
F.16 269 552 39451 38807 205746 251 270 220 267 524 286 NaN NaN 48 NaN NaN 33 18889 16222
F.06 320 466 39197 37956 23306 925 1275 1090 328 444 8911 NaN NaN 9453 NaN NaN 919 12530 10846
A.03 12 11 31 27 524 7 1907 1919 8 11 6 NaN NaN 4 NaN NaN 8 95 190500
E.19 66 229 40199 37126 9957 112 105 98 60 156 110 108 98 23 14 3 20 14 3
C.15 267 255 389 349 48242 232 2287273 NaN 228 305 134 NaN NaN 106 NaN NaN 129 995869 NaN
A.16 17 12 53 43 546 7 1011 214 10 11 6 NaN NaN 5 NaN NaN 5 2092 2870205
B.14 81 96 229 122 57845 57 5747 543293 75 92 49 NaN NaN 37 NaN NaN 70 23395 NaN
A.02 15 12 48 32 12299 7 5197 39 8 11 7 NaN NaN 4 NaN NaN 5 903 6959
F.14 387 375 39877 41143 NaN 203 NaN 3121966 242 503 168 NaN NaN 29 NaN NaN 41 NaN 3326452
F.05 274 456 41073 39577 10762 676 810 564 301 445 11676 NaN NaN 11982 NaN NaN 614 1961 1717
B.09 147 101 240 124 1010513 88 816 NaN 79 89 50 NaN NaN 38 NaN NaN 46 82277 NaN
A.01 9 19 32 28 568 11 761 12342 9 11 7 NaN NaN 4 NaN NaN 6 1180 234644
C.05 224 329 384 345 1848733 151 1693710 NaN 214 246 169 NaN NaN 105 NaN NaN 121 74824 NaN
B.01 79 92 194 151 274285 54 26069 NaN 76 85 49 NaN NaN 36 NaN NaN 41 49127 NaN
A.09 9 11 30 26 66 7 2001 578 8 12 10 NaN NaN 7 NaN NaN 8 2902 143963
A.07 8 10 31 28 1881 7 2193 5473 8 17 7 6276 22961 4 25751 NaN 4 306 159910
F.03 345 397 38094 39527 NaN 187 NaN NaN 255 449 194 NaN NaN 56 NaN NaN 66 NaN NaN
E.12 295 424 37524 37151 9554 239 210 126 295 479 163 144 159 27 16 4 29 17 5
C.06 237 278 398 363 1141415 155 1329608 NaN 234 291 137 NaN NaN 148 NaN NaN 120 143880 NaN
C.09 302 259 407 273 65211 151 38212 NaN 212 241 135 NaN NaN 105 NaN NaN 139 912 NaN
B.17 124 164 272 176 4883 81 782 NaN 79 93 48 NaN NaN 37 NaN NaN 69 67672 NaN
C.07 262 297 445 352 980385 205 46475 NaN 249 273 135 NaN NaN 115 NaN NaN 134 909321 NaN
E.09 291 416 41659 38885 9547 148 135 124 308 423 166 153 128 29 17 4 28 17 6
E.17 55 146 37784 37217 10105 164 156 91 71 156 109 152 109 23 14 4 18 14 4
C.11 259 336 400 283 NaN 235 16592 NaN 222 262 134 NaN NaN 116 NaN NaN 121 38144 NaN
F.10 42 166 39055 40167 9595 202 147 132 41 164 144 161 141 20 17 3 20 20 4
A.17 9 11 30 40 35177 7 7017 37545 8 10 6 NaN NaN 4 NaN NaN 8 9866 215375
B.15 81 94 167 169 1908179 62 NaN NaN 76 95 49 NaN NaN 36 NaN NaN 43 1789511 NaN
E.03 117 277 37653 37197 10858 166 99 90 111 253 116 102 122 19 14 5 27 14 5
F.19 391 433 38678 37287 NaN 162 NaN NaN 253 524 169 NaN NaN 37 NaN NaN 33 NaN NaN
A.12 9 18 30 42 12387 11 130090 41149 8 15 6 NaN NaN 7 NaN NaN 4 147147 477035
B.08 143 92 180 187 1912581 87 148970 315 96 90 50 NaN NaN 39 NaN NaN 70 11868 NaN
F.17 364 535 40780 38745 109198 208 244 156 289 556 697 NaN NaN 691 NaN NaN 60 41287 35621
C.04 233 269 397 275 NaN 170 NaN NaN 222 283 137 NaN NaN 130 NaN NaN 200 1510571 NaN
B.19 78 95 176 185 NaN 54 NaN NaN 77 88 49 NaN NaN 37 NaN NaN 43 226292 NaN
C.16 351 262 406 269 1946276 159 144153 NaN 221 285 135 NaN NaN 111 NaN NaN 119 73231 NaN
C.17 226 350 398 335 NaN 173 2074723 NaN 284 330 134 NaN NaN 114 NaN NaN 121 351584 NaN
E.08 151 256 37982 38126 10896 148 105 94 153 253 112 108 109 21 15 4 29 17 5
F.13 337 514 123935 353300 10236 231942 199 228 351 612 1093853 NaN NaN 1136365 NaN NaN 233013 28 10
A.20 8 19 31 27 213 7 30 22 8 10 10 NaN NaN 4 NaN NaN 7 10 1114566
E.02 83 147 36092 35879 10326 115 107 97 57 149 167 109 97 18 15 4 24 17 5
E.16 82 203 39321 39652 10063 124 170 150 100 194 123 163 110 27 16 3 20 19 4
